	PCO1 (20.86%)	PCO2 (17.33%)	
Sample257	0.039319137	-0.02899308	ACS
Sample258	-0.003113958	-0.014481387	ACS
Sample259	0.010629311	0.013585841	ACS
Sample260	-0.022843048	0.07893809	ACS
Sample261	0.042292419	0.113454251	ACS
Sample262	0.067091687	0.039742291	ACS
Sample263	0.048816776	-0.010140827	ACS
Sample264	0.009157444	0.048218404	ACS
Sample265	0.025796936	-0.041892176	ACS
Sample266	0.09376782	-0.062813043	ACS
Sample267	0.013427392	-0.001298871	ACS
Sample268	0.013472799	0.029351625	ACS
Sample269	0.124245867	0.06107667	ACS
Sample270	-0.039340414	-0.024914459	ACS
Sample271	0.081905231	0.059820942	ACS
